rf_power_W,pressure_mTorr,gas_flow_sccm,chuck_temp_C,bias_voltage_V,reflected_power_W,dc_bias_V,fault_class,fault_label,sample_idx,time_step
502.4835707650562,30.732824384460777,80.7384665799954,19.856247728646412,119.56065622432497,3.5846292579495858,203.16412778817218,0,Normal,0,0
499.3086784941441,29.88711184975673,80.17136828118997,19.944302307000854,120.7142251430235,4.579354677234641,196.36245018082104,0,Normal,0,1
503.23844269050346,30.033764102343962,79.88435171761176,19.668099507798193,122.95578808948304,4.65728548347323,205.6111772437444,0,Normal,0,2
507.61514928204014,29.287625906893272,79.69889630441071,19.641138012775798,118.9634595634527,4.197722730778381,194.39259574883087,0,Normal,0,3
498.8292331263833,29.727808637737407,78.52147800963257,20.24375774671826,118.38301279421363,4.838714288333991,202.34742837520108,0,Normal,0,4
498.8293152152541,30.055461294854933,79.2801557916053,20.40687200857125,118.99648591283092,5.404050856814538,208.76182250323993,0,Normal,0,5
507.89606407753695,29.424503211288847,79.53936122904021,19.9783969635259,121.83080423540414,6.88618590121053,196.03785469947724,0,Normal,0,6
503.83717364576455,30.187849009172837,81.05712222621892,20.301059869367606,120.65750221931937,5.174577812831839,197.7348090815889,0,Normal,0,7
497.65262807032525,29.6996806550406,80.34361828956847,20.10849080751429,118.94047959246592,5.2575503907227645,200.39860546035055,0,Normal,0,8
502.71280021792984,29.854153125103362,78.23695984463727,19.806464073618464,121.02653486622671,4.925554084233832,197.9860973835352,0,Normal,0,9
497.6829115359377,29.6991466938853,80.32408396939479,20.108418681652523,120.19415509869609,3.0812287847009587,193.79734627573546,0,Normal,0,10
497.6713512321487,30.92613909225447,79.61491771958369,20.46141096993979,121.93728998106577,4.973486124550783,200.2742518992241,0,Normal,0,11
501.2098113578302,29.993251387631034,79.32307799969404,19.989252188267013,118.5958938122453,5.060230209941026,195.7507851450956,0,Normal,0,12
490.433598776711,29.47114453552205,80.61167628884087,20.469393096744202,119.34467570680447,7.463242112485286,201.89436972254072,0,Normal,0,13
491.37541083743486,30.411272456051595,81.03099952249595,19.214076468773076,119.21578369373569,4.807639035218878,196.3223030630648,0,Normal,0,14
497.18856235379513,29.38957817501449,80.9312801191162,20.246570751312568,117.07297010373577,5.301547342333612,206.19973762007015,0,Normal,0,15
494.9358443983279,30.10443179750238,79.16078247677736,20.02611412047145,120.59224055412915,4.965288230294757,196.86698683065507,0,Normal,0,16
501.5712366629764,29.020164938060113,79.69078762414878,19.91029779486024,120.52211054435978,3.8313219623804677,198.71175393517728,0,Normal,0,17
495.45987962239394,29.335906975550785,80.33126343140357,20.027528232960652,120.01022691328492,6.1428228145150205,203.2540688694787,0,Normal,0,18
492.93848149332354,30.09843061793456,80.97554512712236,19.403729325619732,119.5308257332497,5.751933032686774,195.07654273426417,0,Normal,0,19
501.13729967302066,29.51265916488634,80.625667347765,20.107336208104485,124.62931713334702,4.2074792615673,196.29227811368767,0,Normal,1,0
506.53571377141213,30.393542301871225,79.14284244358372,20.168235357910472,116.26546961481651,4.885263558533101,199.7618985757528,0,Normal,1,1
491.96258382719384,30.579297789503702,78.92910750193889,20.32491537295258,121.37252038074902,5.504987278980457,187.0349306397237,0,Normal,1,2
500.9231692926615,29.589658840824146,80.48247241524318,20.316140615610472,116.7745682576207,5.865755194170122,195.90244943466283,0,Normal,1,3
501.29941397124213,30.481688064622162,79.77653721467415,19.586699189612872,119.05613626842113,3.7997035929442236,198.98972739442735,0,Normal,1,4
503.90911435888654,30.20639046346825,80.71400049409209,19.718652488025462,122.17790119393473,4.665498764159052,195.0088672721406,0,Normal,1,5
493.8152464456096,30.411030079997246,80.47323762457354,20.154510580162597,120.12856003819093,4.5250546888390435,206.52964521572653,0,Normal,1,6
493.3977169345786,30.948396491326974,79.92717108734313,20.154135785273663,117.84451044414139,4.346670767426288,194.27943448815748,0,Normal,1,7
